batch_ID,name,status,birthday,username,lab_name,strain,generation,current_adults,starting_nursery
2," TLAB ",Dead,12/12/2007,yleung,Leung,TLAB,,0,0
3," Sandy ",Dead,08/06/2007,yleung,Leung,TL,,0,0
8," AB  ",Dead,03/19/2008,mrhensle,Leung,AB,outcross/F0,0,0
9,Young,Dead,03/19/2008,yleung,Leung,AB,F2,0,0
16," Sandy",Dead,05/28/2008,mrhensle,Leung,TL,,0,0
36,"Albino Sandy",Dead,05/22/2008,mrhensle,Leung,TL,,0,0
48,"  Sandy ",Dead,07/01/2008,mrhensle,Leung,TL,F1,0,0
49,Sandy,Dead,06/05/2008,mrhensle,Leung,TL,F1,0,0
50," TLAB",Dead,08/19/2008,mrhensle,Leung,TLAB,,0,0
91,Sandy,Dead,07/01/2008,mrhensle,Leung,TL,F1,0,0
53," AB/TLAB ",Dead,03/19/2008,mrhensle,Leung,AB,,0,0
75,Young,Dead,12/28/2007,yleung,Leung,AB,F2,0,0
57,"Young ",Dead,11/13/2007,mrhensle,Leung,AB,F2,0,0
58," Young",Dead,11/21/2007,mrhensle,Leung,AB,outcross/F0,0,0
59," Young ",Dead,03/19/2008,mrhensle,Leung,AB,F2,0,0
60,"Young ",Dead,12/08/2006,mrhensle,Leung,AB,F1,0,0
61,Sandy,Dead,08/06/2007,mrhensle,Leung,TL,,0,0
62," Sandy ",Dead,08/06/2007,mrhensle,Leung,TL,,0,0
63," AB ",Dead,11/19/2008,zhang156,Leung,AB,outcross/F0,0,0
64,JOEY,Dead,07/01/2008,mrhensle,Leung,TL,F1,0,0
65," Sandy",Dead,07/01/2008,mrhensle,Leung,TL,,0,0
66,"Young ",Dead,11/21/2007,mrhensle,Leung,AB,outcross/F0,0,0
67," Young ",Dead,12/25/2007,mrhensle,Leung,AB,F2,0,0
68,"Young ",Dead,11/13/2007,mrhensle,Leung,AB,F2,0,0
69,TL,Dead,01/17/2007,mrhensle,Leung,TL,,0,0
72,"AB ",Dead,11/06/2008,mrhensle,Leung,AB,F1,0,0
73,Gassi,Dead,11/11/2008,mrhensle,Leung,,,0,0
76,Young,Dead,12/28/2007,yleung,Leung,AB,outcross/F0,0,0
77,Young,Dead,11/21/2007,yleung,Leung,AB,outcross/F0,0,0
80," TL",Dead,12/11/2008,mrhensle,Leung,TL,outcross/F0,0,100
84,fdv,Alive,03/30/2009,mrhensle,Leung,TU,outcross/F0,25,200
92,Sandy,Dead,06/05/2008,mrhensle,Leung,TL,F1,0,0
93,Sandy,Dead,06/05/2008,mrhensle,Leung,TL,F1,0,0
94,Young,Dead,11/21/2007,mrhensle,Leung,AB,outcross/F0,0,0
95,Young,Dead,11/21/2007,mrhensle,Leung,AB,outcross/F0,0,0
96,Young,Dead,03/19/2008,mrhensle,Leung,AB,F2,0,0
97,Young,Dead,02/04/2009,mrhensle,Leung,AB,F1,0,0
98,Young,Dead,02/06/2009,mrhensle,Leung,AB,F1,0,0
111,AB,Dead,09/14/2009,mrhensle,Leung,AB,outcross/F0,0,100
99,Young,Dead,02/24/2009,zhang156,Leung,AB,F1,0,0
100,Young,Dead,03/04/2009,mrhensle,Leung,AB,F1,0,0
126,fdv,Alive,11/13/2009,mrhensle,Leung,TU,F1,30,210
107,Young,Dead,02/04/2009,mrhensle,Leung,AB,F1,0,0
108,Young,Dead,02/06/2009,mrhensle,Leung,AB,F1,0,0
109,Young,Dead,02/24/2009,mrhensle,Leung,AB,F1,0,0
110,Young,Dead,03/04/2009,mrhensle,Leung,AB,F1,0,0
117,Young,Dead,07/28/2009,zhang383,Leung,AB,F2,0,100
112,TLAB,Dead,07/29/2009,mrhensle,Leung,TLAB,outcross/F0,0,100
113,Gassi,Dead,08/11/2009,mrhensle,Leung,AB,F2,0,0
114,Young,Dead,08/07/2009,mrhensle,Leung,AB,outcross/F0,0,0
115,Sandy,Dead,09/11/2009,mrhensle,Leung,TL,outcross/F0,0,100
116,AB,Dead,09/01/2009,mrhensle,Leung,AB,F1,0,100
127,Young,Dead,08/07/2009,mrhensle,Leung,AB,outcross/F0,0,100
128,Young,Dead,07/28/2009,mrhensle,Leung,AB,F2,0,0
129,Young,Dead,12/09/2009,mrhensle,Leung,AB,F2,0,0
140,young,Alive,02/23/2010,zhang383,Leung,AB,F1,9,200
145,young,Alive,02/25/2010,mrhensle,Leung,AB,outcross/F0,33,230
141,Young,Dead,02/23/2010,zhang383,Leung,AB,F2,0,113
144,AB,Dead,01/25/2010,mrhensle,Leung,AB,F2,0,100
142,AB,Dead,02/25/2010,zhang156,Leung,AB,F2,0,200
143,AB,Dead,02/25/2010,mrhensle,Leung,AB,outcross/F0,0,100
146,TLAB,Dead,02/18/2010,mrhensle,Leung,TLAB,F1,0,140
148,Young,Dead,02/24/2010,sbonilla,Leung,AB,F2,0,120
149,TL,Alive,02/24/2010,sbonilla,Leung,TL,F1,32,120
167,Young,Dead,02/24/2010,sbonilla,Leung,AB,F2,0,0
169,sandy,Alive,06/23/2010,mrhensle,Leung,TL,F1,60,100
170,Tg(gfap:gfp),Alive,06/30/2010,mrhensle,Leung,AB,F1,34,100
189,TLAB,Alive,12/02/2010,mrhensle,Leung,TLAB,F1,56,125
198,young,Alive,12/01/2010,mrhensle,Leung,AB,F1,50,200
199,TL,Alive,12/02/2010,mrhensle,Leung,TL,F2,94,120
